eraFlags, epochCount, epoch01, epoch02, epoch03, epoch04, epoch05, epoch06, epoch07, epoch08, epoch09, epoch10, epoch11, epoch12, epoch13, epoch14, epoch15,Sleep,Comments
1:12:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,25%,
1:15:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,35%,
1:17:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,45%,
1:20:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,55%,
1:22:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,65%,
1:25:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,75%,
1:27:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,85%,
1:30:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,95%,
1:32:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:35:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:37:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:40:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:42:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:45:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 8:0, 8:0, 8:0, 8:0,100%,
1:47:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:50:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:52:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:55:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
1:57:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:00:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:02:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:05:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:07:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:10:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:12:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:15:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:17:30 am,15, 8:0, 8:1, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,100%,
2:20:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 7:2, 8:0, 8:0, 8:0,99%,
2:22:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:25:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:1, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:27:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:30:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:32:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:35:00 am,15, 8:0, 8:0, 8:0, 8:0, 7:2, 8:1, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:37:30 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
2:40:00 am,15, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0, 8:0,99%,
